Transaction_ID,Citizen_ID,Ward_ID,Amount,Payment_Method,Status,Date,Tax_Year,Late_Days,Penalty_Applied,Receipt_ID
TXN00001,C001,W02,3450,Net Banking,Success,2023-12-09,2023-24,0,False,RCP000001
TXN00002,C001,W02,3450,Net Banking,Success,2023-12-23,2023-24,0,False,RCP000002
TXN00003,C001,W02,3450,Net Banking,Success,2024-03-20,2023-24,0,False,RCP000003
TXN00004,C001,W02,3450,Net Banking,Success,2024-03-02,2023-24,0,False,RCP000004
TXN00005,C002,W04,13233,UPI,Success,2023-08-21,2023-24,3,False,RCP000005
TXN00006,C002,W04,13233,UPI,Success,2024-10-30,2023-24,0,False,RCP000006
TXN00007,C002,W04,13233,UPI,Success,2024-09-08,2023-24,0,False,RCP000007
TXN00008,C003,W07,4150,UPI,Success,2024-10-11,2023-24,35,True,RCP000008
TXN00009,C003,W07,4150,UPI,Success,2024-10-09,2023-24,0,False,RCP000009
TXN00010,C004,W05,2800,UPI,Success,2023-02-25,2023-24,42,False,RCP000010
TXN00011,C004,W05,2800,UPI,Success,2023-11-09,2023-24,0,False,RCP000011
TXN00012,C004,W05,2800,UPI,Success,2024-06-20,2023-24,0,False,RCP000012
TXN00013,C004,W05,2800,UPI,Success,2023-02-12,2023-24,0,False,RCP000013
TXN00014,C004,W05,2800,UPI,Success,2023-11-23,2023-24,0,False,RCP000014
TXN00015,C004,W05,2800,UPI,Success,2024-07-06,2023-24,0,False,RCP000015
TXN00016,C005,W07,5750,UPI,Success,2023-12-01,2023-24,17,True,RCP000016
TXN00017,C006,W08,2050,UPI,Success,2023-06-06,2023-24,1,False,RCP000017
TXN00018,C006,W08,2050,UPI,Success,2023-02-21,2023-24,0,False,RCP000018
TXN00019,C006,W08,2050,UPI,Success,2024-11-20,2023-24,0,False,RCP000019
TXN00020,C006,W08,2050,UPI,Success,2024-02-07,2023-24,0,False,RCP000020
TXN00021,C007,W03,15850,Net Banking,Success,2024-09-01,2023-24,0,True,RCP000021
TXN00022,C007,W03,15850,Net Banking,Success,2024-08-12,2023-24,0,False,RCP000022
TXN00023,C008,W03,9975,Credit Card,Success,2023-08-16,2023-24,32,False,RCP000023
TXN00024,C010,W08,9750,Offline,Success,2023-10-24,2023-24,12,True,RCP000024
TXN00025,C011,W04,8150,UPI,Success,2023-06-01,2023-24,4,True,RCP000025
TXN00026,C012,W04,21900,UPI,Success,2023-12-11,2023-24,26,False,RCP000026
TXN00027,C013,W02,5150,UPI,Success,2024-05-02,2023-24,4,False,RCP000027
TXN00028,C013,W02,5150,UPI,Success,2024-08-08,2023-24,0,False,RCP000028
TXN00029,C014,W07,11300,Debit Card,Success,2024-07-15,2023-24,3,False,RCP000029
TXN00030,C015,W04,17300,Net Banking,Success,2023-09-26,2023-24,0,False,RCP000030
TXN00031,C015,W04,17300,Net Banking,Success,2023-03-29,2023-24,0,False,RCP000031
TXN00032,C016,W07,3150,UPI,Success,2024-05-28,2023-24,2,False,RCP000032
TXN00033,C016,W07,3150,UPI,Success,2024-03-20,2023-24,0,False,RCP000033
TXN00034,C016,W07,3150,UPI,Success,2024-12-15,2023-24,0,False,RCP000034
TXN00035,C016,W07,3150,UPI,Success,2023-05-14,2023-24,0,False,RCP000035
TXN00036,C017,W05,2750,Net Banking,Success,2024-05-07,2023-24,8,False,RCP000036
TXN00037,C018,W05,9675,UPI,Success,2024-05-14,2023-24,0,False,RCP000037
TXN00038,C018,W05,9675,UPI,Success,2024-02-09,2023-24,0,False,RCP000038
TXN00039,C018,W05,9675,UPI,Success,2024-10-29,2023-24,0,False,RCP000039
