Alert_ID,Citizen_ID,Ward_ID,Alert_Type,Risk_Score,Outstanding_Amount,Recommended_Action,Created_Date,Resolved,Priority
ALT0001,C003,W07,Payment Overdue,81,8300,Field officer visit,2024-08-24,True,High
ALT0002,C004,W05,Penalty Imminent,89,0,Initiate legal notice,2024-09-17,True,High
ALT0003,C005,W07,Payment Overdue,80,5750,Send SMS reminder,2024-06-03,False,High
ALT0004,C008,W03,Repeated Default,77,3325,Initiate legal notice,2024-10-07,True,High
ALT0005,C009,W06,Repeated Default,72,7100,Enroll in payment plan,2024-04-16,False,High
ALT0006,C010,W08,Penalty Imminent,87,3250,Initiate legal notice,2024-03-29,True,Medium
ALT0007,C011,W04,Repeated Default,73,8150,Field officer visit,2024-06-15,True,High
ALT0008,C012,W04,High Risk Flagged,79,0,Field officer visit,2024-02-05,True,Medium
ALT0009,C017,W05,Repeated Default,80,2750,Field officer visit,2024-11-26,True,Critical
ALT0010,C021,W03,High Risk Flagged,96,18300,Initiate legal notice,2024-10-24,True,Critical
ALT0011,C022,W04,High Risk Flagged,84,21400,Enroll in payment plan,2024-07-18,False,Critical
ALT0012,C023,W06,High Risk Flagged,91,0,Enroll in payment plan,2024-06-02,False,High
ALT0013,C024,W05,Penalty Imminent,72,0,Send SMS reminder,2024-11-09,False,Critical
ALT0014,C025,W05,Penalty Imminent,71,0,Enroll in payment plan,2024-10-08,True,Critical
ALT0015,C026,W06,Penalty Imminent,73,15450,Enroll in payment plan,2024-01-16,True,High
ALT0016,C027,W04,Repeated Default,90,3300,Enroll in payment plan,2024-12-30,False,High
ALT0017,C028,W01,Repeated Default,83,10275,Initiate legal notice,2024-12-05,True,High
ALT0018,C029,W07,High Risk Flagged,76,39900,Field officer visit,2024-07-03,False,Critical
ALT0019,C030,W02,Penalty Imminent,97,4850,Initiate legal notice,2024-03-09,True,Critical
ALT0020,C031,W04,Payment Overdue,74,22125,Field officer visit,2024-12-02,False,Critical
ALT0021,C032,W05,Payment Overdue,74,2775,Field officer visit,2024-08-21,False,Medium
ALT0022,C033,W07,High Risk Flagged,84,10700,Field officer visit,2024-10-09,False,High
ALT0023,C037,W08,Penalty Imminent,77,24375,Initiate legal notice,2024-08-05,True,Medium
ALT0024,C038,W08,Repeated Default,97,0,Initiate legal notice,2024-12-30,False,High
ALT0025,C039,W07,Penalty Imminent,71,0,Send SMS reminder,2024-10-17,False,Medium
ALT0026,C040,W06,Penalty Imminent,73,8000,Field officer visit,2024-12-19,True,Critical
ALT0027,C046,W03,Penalty Imminent,84,6975,Send SMS reminder,2024-09-24,True,Critical
ALT0028,C049,W08,Repeated Default,90,6400,Send SMS reminder,2024-12-16,False,Medium
ALT0029,C050,W08,Payment Overdue,98,7400,Enroll in payment plan,2024-09-30,True,High
ALT0030,C051,W07,Repeated Default,86,5325,Field officer visit,2024-10-20,False,High
ALT0031,C052,W03,Penalty Imminent,95,13800,Enroll in payment plan,2024-05-28,True,Critical
ALT0032,C055,W06,Penalty Imminent,93,48700,Enroll in payment plan,2024-02-01,False,Medium
ALT0033,C056,W02,High Risk Flagged,88,7400,Send SMS reminder,2024-12-02,False,Medium
ALT0034,C058,W07,Payment Overdue,79,16950,Field officer visit,2024-02-12,True,Medium
ALT0035,C059,W01,Payment Overdue,97,22850,Enroll in payment plan,2024-05-09,True,Medium
ALT0036,C061,W06,Penalty Imminent,78,34700,Enroll in payment plan,2024-01-08,True,Medium
ALT0037,C062,W02,High Risk Flagged,99,13200,Initiate legal notice,2024-12-03,False,High
ALT0038,C064,W02,High Risk Flagged,78,15350,Initiate legal notice,2024-09-05,True,Medium
ALT0039,C065,W02,Payment Overdue,80,0,Send SMS reminder,2024-03-15,True,High
ALT0040,C066,W03,Repeated Default,94,4200,Field officer visit,2024-05-01,False,Medium
ALT0041,C067,W03,High Risk Flagged,76,3850,Enroll in payment plan,2024-01-28,False,Critical
ALT0042,C069,W05,Payment Overdue,75,20100,Field officer visit,2024-07-23,False,High
ALT0043,C071,W01,Repeated Default,93,16000,Initiate legal notice,2024-07-13,False,High
ALT0044,C072,W04,Penalty Imminent,74,11100,Field officer visit,2024-01-07,False,High
ALT0045,C074,W06,Repeated Default,91,7650,Enroll in payment plan,2024-09-28,True,Critical
ALT0046,C075,W08,Penalty Imminent,97,5650,Field officer visit,2024-11-08,False,High
ALT0047,C077,W08,Penalty Imminent,78,15300,Send SMS reminder,2024-05-10,False,High
ALT0048,C078,W07,High Risk Flagged,93,18000,Initiate legal notice,2024-09-23,False,Medium
ALT0049,C082,W03,High Risk Flagged,80,10575,Send SMS reminder,2024-12-10,True,Critical
ALT0050,C083,W03,Payment Overdue,83,15200,Send SMS reminder,2024-09-25,True,Medium
